Date,Transaction Description,Amount,Bank Reference,Customer Reference,Transaction Detail,Add'l Details,Image
2/28/2025,ACH deposit,"1,027.16",A25059004942936,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/27/2025,ACH Withdrawal,"-5,721.84",A25058007093693,1290627603,AMERICAN EXPRESSCOLLECTION AVE FLORHAM 1290627603 1290627603,advice detail,
2/27/2025,Book transfer debit,"-25,000.00",0,,TO ...0174,,
2/27/2025,ACH deposit,"3,316.70",A25058003398485,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/27/2025,ACH deposit,"5,885.00",A25056008315897,V001138        ,PHARMACOSMOACH1 PAYMENTJNL RXR-KORMAN FLORHAM PAR V001138,advice detail,
2/26/2025,Paid Check,"-1,778.40",30781044,400,,,
2/26/2025,Book transfer debit,"-20,000.00",0,,TO ...0174,,
2/26/2025,ACH deposit,"2,872.49",A25057010308280,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/26/2025,ACH deposit,"6,017.81",A25057009985317,Settle3669529  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3669529,advice detail,
2/26/2025,Book transfer credit,"6,300.00",0,,FROM ...0943,,
2/26/2025,Book transfer credit,"6,440.00",0,,FROM ...0943,,
2/26/2025,ACH deposit,"6,923.43",A25057013943474,1290627603,AMERICAN EXPRESSSETTLEMENT AVE FLORHAM 1290627603 1290627603,advice detail,
2/25/2025,ACH deposit,456.21,A25056000199014,Settle3665973  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3665973,advice detail,
2/24/2025,ACH Withdrawal,-912.42,A25055006142107,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/24/2025,Book transfer debit,-189.13,0,,TO ...2058,,
2/24/2025,Book transfer credit,189.13,0,,FROM ...0943,,
2/24/2025,ACH deposit,"1,027.16",A25055009365543,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/24/2025,ACH deposit,"5,890.00",A25055016317137,10533,ORION MOBILI0232RELO EXP   KCI FLORHAM PARK OWNER 10533,advice detail,
2/21/2025,Book transfer debit,"-60,000.00",0,,TO ...0174,,
2/21/2025,Customer Deposit,"4,133.23",60122258,,,,
2/20/2025,ACH deposit,"1,487.61",A25051008445088,1290627603,AMERICAN EXPRESSSETTLEMENT AVE FLORHAM 1290627603 1290627603,advice detail,
2/20/2025,ACH deposit,"1,732.00",A25051003959138,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/20/2025,ACH deposit,"2,206.53",A25051004426294,               ,GIVAUDAN FLAVORSPAYMENT    KCI FLORHAM PARK OWNER,advice detail,
2/20/2025,Book transfer credit,"8,023.75",0,,FROM ...9420,,
2/19/2025,ACH Withdrawal,-354.02,A25050011201438,25021812INV1621,PAYLIANCE INVOIC8006344484 KCI Florham Park Inves 25021812INV1621,advice detail,
2/19/2025,Book transfer credit,200.59,0,,FROM ...0943,,
2/19/2025,ACH deposit,965.54,A25050010227336,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/19/2025,ACH deposit,"1,750.00",A25050009712035,Settle3655150  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3655150,advice detail,
2/19/2025,Book transfer credit,"5,937.58",0,,FROM ...0943,,
2/19/2025,ACH deposit,"6,045.00",A25049026862753,81495,BAUSCH & LOMB   PAYMENTS   KCI FLORHAM PARK OWNER 0000081495,advice detail,
2/19/2025,Book transfer credit,"7,750.00",0,,FROM ...0943,,
2/18/2025,Book transfer debit,"-50,000.00",0,,TO ...0174,,
2/18/2025,Book transfer credit,938.11,0,,FROM ...0943,,
2/18/2025,ACH deposit,"1,390.80",A25049015348325,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/18/2025,Customer Deposit,"2,424.32",60541406,,,,
2/18/2025,Book transfer credit,"6,216.11",0,,FROM ...0943,,
2/18/2025,ACH deposit,"10,201.63",A25049014480217,Settle3650859  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3650859,advice detail,
2/14/2025,ACH Withdrawal,-171.94,A25045009688522,1290627603,AMERICAN EXPRESSCOLLECTION AVE FLORHAM 1290627603 1290627603,advice detail,
2/14/2025,ACH Withdrawal,-378.27,A25045006122443,DBT133631348719,PAYLIANCE       8006344484 AVE Florham Park       DBT133631348719,advice detail,
2/14/2025,ACH deposit,388.43,A25045006431378,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/14/2025,Book transfer credit,632.68,0,,FROM ...0943,,
2/14/2025,ACH deposit,"4,495.00",A25045006125011,Settle3648838  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3648838,advice detail,
2/14/2025,Book transfer credit,"12,090.00",0,,FROM ...0943,,
2/13/2025,Book transfer credit,"2,840.71",0,,FROM ...0943,,
2/13/2025,ACH deposit,"3,654.07",A25044005167385,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/13/2025,ACH deposit,"3,665.00",A25044005262046,65000090,PHARMACOSMOACH1 VENDOR PAY KCI Florham Park Owner 065000090,advice detail,
2/13/2025,ACH deposit,"6,143.91",A25044004757751,Settle3646045  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3646045,advice detail,
2/13/2025,Book transfer credit,"6,355.00",0,,FROM ...0943,,
2/12/2025,Customer Deposit,848.23,80109974,,,,
2/12/2025,Book transfer credit,"1,313.84",0,,FROM ...0943,,
2/12/2025,Book transfer credit,"4,930.00",0,,FROM ...0943,,
2/12/2025,Book transfer credit,"5,890.00",0,,FROM ...0943,,
2/10/2025,Book transfer debit,"-45,000.00",0,,TO ...0174,,
2/10/2025,ACH deposit,"2,590.00",A25041013078031,Settle3637293  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3637293,advice detail,
2/10/2025,ACH deposit,"5,643.45",A25041013661320,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/10/2025,ACH deposit,"5,930.74",A25041013590961,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/7/2025,ACH deposit,"4,194.81",A25038008123709,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/7/2025,Customer Deposit,"4,676.00",50293870,,,,
2/7/2025,ACH deposit,"6,000.00",A25038007576588,Settle3635466  ,PAYLIANCE       8006344484 AVE Florham Park       Settle3635466,advice detail,
2/7/2025,Wire transfer deposit,"6,423.20",0,,Q GLOBAL NETWORK LIMITED - PET614506038,advice detail,
2/7/2025,Book transfer credit,"8,023.75",0,,FROM ...0943,,
2/6/2025,Book transfer debit,"-165,000.00",0,,TO ...0174,,
2/6/2025,ACH deposit,218.42,A25037008049607,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/6/2025,ACH deposit,"1,146.25",A25037007896617,               ,LG: HOUSEMAID (C6H1IQTO478 RXR-KORMAN FLORHAM PAR,advice detail,
2/5/2025,ACH Withdrawal,"-2,444.93",A25036010250763,1290627603,AMERICAN EXPRESSAXP DISCNT AVE FLORHAM 1290627603 1290627603,advice detail,
2/5/2025,Wire transfer deposit,"3,334.78",0,,MB EMOCINGI APLODISMENTAI - NOT PROVIDED,advice detail,
2/5/2025,Book transfer credit,"4,070.00",0,,FROM ...0943,,
2/5/2025,Customer Deposit,"5,330.00",70468790,,,,
2/5/2025,Book transfer credit,"5,829.88",0,,FROM ...0943,,
2/5/2025,Book transfer credit,"6,017.81",0,,FROM ...0943,,
2/5/2025,Book transfer credit,"7,727.86",0,,FROM ...0943,,
2/5/2025,Book transfer credit,"27,848.05",0,,FROM ...0943,,
2/5/2025,ACH deposit,"30,602.67",A25036006983469,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/5/2025,ACH deposit,"43,673.78",A25036010256236,1290627603,AMERICAN EXPRESSSETTLEMENT AVE FLORHAM 1290627603 1290627603,advice detail,
2/4/2025,ACH Withdrawal,"-2,454.09",A25035005015843,DBT133635727895,PAYLIANCE       8006344484 AVE Florham Park       DBT133635727895,advice detail,
2/4/2025,Book transfer debit,"-4,814.26",0,,TO ...9510,,
2/4/2025,ACH deposit,573.12,A25035005567127,               ,LG: HOUSEMAID (C30OAH6PGME RXR-KORMAN FLORHAM PAR,advice detail,
2/4/2025,Book transfer credit,"9,445.04",0,,FROM ...0943,,
2/3/2025,ACH Withdrawal,"-4,784.07",A25034007311529,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/3/2025,Book transfer debit,"-150,000.00",0,,TO ...0174,,
2/3/2025,ACH deposit,"1,027.15",A25034011852934,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
2/3/2025,Book transfer credit,"3,515.00",0,,FROM ...0943,,
2/3/2025,Customer Deposit,"3,733.24",80507566,,,,
2/3/2025,Book transfer credit,"6,052.21",0,,FROM ...0943,,
2/3/2025,ACH deposit,"7,725.00",A25034010421170,1290627603,AMERICAN EXPRESSSETTLEMENT AVE FLORHAM 1290627603 1290627603,advice detail,
2/3/2025,ACH deposit,"7,804.05",A25034011967443,1.16E+14,BKCD PROCESSING SETTLEMENT AVE Florham Park       115800001082108,advice detail,
