Npostid    ,Transtype                     ,Postdate              ,Period   ,Billfrom              ,Billto                ,Market                                  ,Acct_no         ,Debit          ,Credit         ,Invoice                       ,Memo                                    ,Unit_id           ,Detail                                                                                                   ,Cosccurrid,Ncurrencyrate       ,Nbdebit        ,Nbcredit       ,Sysdate               
15946853,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,26158.09,0,2.3 - Wires                   ,Deposit - Wires                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 10:57
15946873,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,7804.05,0,1.31 - CC                     ,Deposit - VI                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 10:58
15946885,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,7725,0,1.31 - CC                     ,Deposit - AMEX                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 10:59
15947189,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,22430,0,2.3 - Check                   ,Deposit - Check                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 11:14
15947265,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,3733.24,0,2.3 - Check 2                 ,Deposit - Check 2                       ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 11:39
15948450,DEPOSIT                       ,2/3/2025 0:00,2025.02  ,2/3/2025 0:00,2/3/2025 0:00,AVE Florham Park                        , 012-0970       ,120784.91,0,2.3 - ACH                     ,Deposit - ACH                           ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/3/2025 14:18
15949703,DEPOSIT                       ,2/4/2025 0:00,2025.02  ,2/4/2025 0:00,2/4/2025 0:00,AVE Florham Park                        , 012-0970       ,9445.04,0,2.4 - Wire                    ,Deposit - Wire - Airbnb                 ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/4/2025 10:58
15949715,DEPOSIT                       ,2/4/2025 0:00,2025.02  ,2/4/2025 0:00,2/4/2025 0:00,AVE Florham Park                        , 012-0970       ,43673.78,0,2.3 - CC                      ,Deposit - amex                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/4/2025 11:00
15949723,DEPOSIT                       ,2/4/2025 0:00,2025.02  ,2/4/2025 0:00,2/4/2025 0:00,AVE Florham Park                        , 012-0970       ,30602.67,0,2.3 - CC                      ,Deposit - vi                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/4/2025 11:01
15949906,DEPOSIT                       ,2/4/2025 0:00,2025.02  ,2/4/2025 0:00,2/4/2025 0:00,AVE Florham Park                        , 012-0970       ,573.12,0,2.4 - Wire                    ,Deposit - Wire - housemaid              ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/4/2025 12:31
