Date,Control,Debit,Credit,Net
12/13/2024,R-1571873,0.00,13.41,-13.41
12/13/2024,R-1571873,0.00,11.24,-11.24
12/13/2024,R-1571873,5.00,0.00,5.00
12/13/2024,R-1571873,14.88,0.00,14.88
12/13/2024,R-1571873,4.95,0.00,4.95
12/13/2024,R-1571873,0.00,9.95,-9.95
12/13/2024,R-1571873,43.25,0.00,43.25
12/13/2024,R-1571873,8.37,0.00,8.37
12/13/2024,R-1571873,8.83,0.00,8.83
12/13/2024,R-1571873,2.41,0.00,2.41
12/13/2024,R-1571873,5.04,0.00,5.04
12/13/2024,R-1571873,0.00,58.13,-58.13
12/30/2024,R-1565211,15.02,0.00,15.02
12/30/2024,R-1565211,16.52,0.00,16.52
12/30/2024,R-1565211,3.63,0.00,3.63
12/30/2024,R-1565211,5.00,0.00,5.00
12/30/2024,R-1565211,20.00,0.00,20.00
12/30/2024,R-1565211,75.00,0.00,75.00
12/30/2024,R-1565211,1.74,0.00,1.74
12/30/2024,R-1565211,55.00,0.00,55.00
12/30/2024,R-1565211,36.51,0.00,36.51
12/30/2024,R-1565211,10.73,0.00,10.73
12/30/2024,R-1565211,"3,198.00",0.00,"3,198.00"
12/31/2024,R-1565801,75.00,0.00,75.00
12/31/2024,R-1565801,3.40,0.00,3.40
12/31/2024,R-1565801,10.73,0.00,10.73
12/31/2024,R-1565801,0.60,0.00,0.60
12/31/2024,R-1565801,"2,615.00",0.00,"2,615.00"
12/31/2024,R-1565801,1.74,0.00,1.74
12/31/2024,R-1565801,5.00,0.00,5.00
12/31/2024,R-1565801,68.92,0.00,68.92
12/31/2024,R-1565801,75.58,0.00,75.58
12/31/2024,R-1565801,90.03,0.00,90.03
12/31/2024,R-1565819,1.74,0.00,1.74
12/31/2024,R-1565819,3.63,0.00,3.63
12/31/2024,R-1565819,10.73,0.00,10.73
12/31/2024,R-1565819,26.20,0.00,26.20
12/31/2024,R-1565819,30.09,0.00,30.09
12/31/2024,R-1565819,70.17,0.00,70.17
12/31/2024,R-1565819,5.00,0.00,5.00
12/31/2024,R-1565868,19.59,0.00,19.59
12/31/2024,R-1565868,11.68,0.00,11.68
12/31/2024,R-1565868,10.84,0.00,10.84
12/31/2024,R-1565868,10.73,0.00,10.73
12/31/2024,R-1565868,5.00,0.00,5.00
12/31/2024,R-1565868,1.74,0.00,1.74
12/31/2024,R-1565868,3.63,0.00,3.63
12/31/2024,R-1565886,1.74,0.00,1.74
12/31/2024,R-1565886,10.73,0.00,10.73
12/31/2024,R-1565886,42.60,0.00,42.60
12/31/2024,R-1565886,87.09,0.00,87.09
12/31/2024,R-1565886,5.00,0.00,5.00
12/31/2024,R-1565886,36.50,0.00,36.50
12/31/2024,R-1565886,3.63,0.00,3.63
1/1/2025,R-1565948,"2,516.66",0.00,"2,516.66"
1/1/2025,R-1565948,0.00,"2,516.66","-2,516.66"
1/1/2025,R-1565949,0.00,126.34,-126.34
1/1/2025,R-1565949,126.34,0.00,126.34
1/1/2025,R-1565950,75.00,0.00,75.00
1/1/2025,R-1565950,0.00,75.00,-75.00
1/1/2025,R-1565951,20.00,0.00,20.00
1/1/2025,R-1565951,0.00,20.00,-20.00
1/1/2025,R-1566007,811.40,0.00,811.40
1/1/2025,R-1566007,0.00,811.40,-811.40
1/1/2025,R-1566029,"2,181.75",0.00,"2,181.75"
1/1/2025,R-1566029,0.00,"2,181.75","-2,181.75"
1/1/2025,R-1566030,0.00,36.25,-36.25
1/1/2025,R-1566030,36.25,0.00,36.25
1/1/2025,R-1566098,0.00,"2,603.00","-2,603.00"
1/1/2025,R-1566098,"2,603.00",0.00,"2,603.00"
1/1/2025,R-1566099,55.00,0.00,55.00
1/1/2025,R-1566099,0.00,55.00,-55.00
1/1/2025,R-1566100,75.00,0.00,75.00
1/1/2025,R-1566100,0.00,75.00,-75.00
1/1/2025,R-1566253,"2,615.00",0.00,"2,615.00"
1/1/2025,R-1566253,0.00,"2,615.00","-2,615.00"
1/1/2025,R-1566254,75.00,0.00,75.00
1/1/2025,R-1566254,0.00,75.00,-75.00
1/1/2025,R-1566354,5.28,0.00,5.28
1/1/2025,R-1566354,0.00,5.28,-5.28
1/1/2025,R-1566355,0.00,"1,400.00","-1,400.00"
1/1/2025,R-1566355,"1,400.00",0.00,"1,400.00"
