Control,Date,Debit,Credit,Net
15946497,2/3/2025,47559.22,0,47559.22
15946514,2/3/2025,28524.66,0,28524.66
15946525,2/3/2025,0,-60000,-60000
15947208,2/3/2025,26705,0,26705
15948963,2/3/2025,440,0,440
15949356,2/4/2025,5623.8,0,5623.8
15950637,2/5/2025,1056,0,1056
15950640,2/5/2025,0,-4395.01,-4395.01
15950749,2/5/2025,5192.8,0,5192.8
15950753,2/5/2025,0,-100000,-100000
15951322,2/5/2025,60853,0,60853
15953103,2/7/2025,6419.99,0,6419.99
15953106,2/7/2025,3341.22,0,3341.22
15953586,2/7/2025,7245.85,0,7245.85
15957410,2/11/2025,3584,0,3584
15957458,2/11/2025,2299.44,0,2299.44
15957463,2/11/2025,1493.5,0,1493.5
15957467,2/11/2025,3297.03,0,3297.03
15959185,2/12/2025,2196.75,0,2196.75
15959187,2/12/2025,475.86,0,475.86
15964637,2/17/2025,4495,0,4495
15964639,2/17/2025,4200,0,4200
15965857,2/18/2025,5824,0,5824
15965898,2/18/2025,4757.57,0,4757.57
15965903,2/18/2025,11059.22,0,11059.22
15965936,2/18/2025,0,-100000,-100000
15965958,2/18/2025,5420,0,5420
15967435,2/19/2025,697.93,0,697.93
15967437,2/19/2025,4245.6,0,4245.6
15967826,2/19/2025,13783.75,0,13783.75
15968548,2/20/2025,766.11,0,766.11
15968659,2/20/2025,0,-6472.26,-6472.26
15968659,2/20/2025,0,-183.93,-183.93
15972335,2/24/2025,184.37,0,184.37
15972420,2/24/2025,4290,0,4290
15973833,2/24/2025,7687,0,7687
15975370,2/25/2025,7161.06,0,7161.06
15975435,2/25/2025,3069,0,3069
15975528,2/25/2025,13123.5,0,13123.5
15977189,2/25/2025,1100,0,1100
15977969,2/26/2025,906.4,0,906.4
15980971,2/27/2025,4650,0,4650
15982130,2/27/2025,550,0,550
15982141,2/27/2025,16940,0,16940
15983930,2/28/2025,0,-100000,-100000
15994107,2/28/2025,6138,0,6138
15994107,2/28/2025,0,-6138,-6138
15994107,2/28/2025,4910,0,4910
15994107,2/28/2025,0,-4910,-4910
