Date,Control,Debit,Credit,Net
1/2/2025,J-422626,0.00,"12,104.68","-12,104.68"
1/2/2025,J-422659,0.00,869.81,-869.81
1/2/2025,J-422727,0.00,"1,561.18","-1,561.18"
1/2/2025,J-422740,"220,000.00",0.00,"220,000.00"
1/3/2025,K-814868,0.00,"21,458.25","-21,458.25"
1/3/2025,K-814868,0.00,"7,152.75","-7,152.75"
1/3/2025,J-423189,"80,000.00",0.00,"80,000.00"
1/3/2025,J-423723,0.00,53.82,-53.82
1/6/2025,K-814912,0.00,"1,512.00","-1,512.00"
1/6/2025,K-814913,0.00,"18,336.16","-18,336.16"
1/6/2025,K-814913,0.00,"17,423.74","-17,423.74"
1/6/2025,K-814914,0.00,110.33,-110.33
1/6/2025,K-814914,0.00,110.03,-110.03
1/6/2025,K-814915,0.00,152.00,-152.00
1/6/2025,J-423660,0.00,"304,630.95","-304,630.95"
1/6/2025,J-423675,"160,000.00",0.00,"160,000.00"
1/6/2025,J-423728,0.00,117.52,-117.52
1/7/2025,K-815340,425.00,0.00,425.00
1/7/2025,K-815341,0.00,425.00,-425.00
1/7/2025,K-815342,425.00,0.00,425.00
1/7/2025,K-815343,0.00,425.00,-425.00
1/7/2025,K-815350,0.00,800.00,-800.00
1/7/2025,K-815351,0.00,183.10,-183.10
1/7/2025,K-815351,0.00,183.10,-183.10
1/7/2025,K-815352,0.00,113.91,-113.91
1/7/2025,K-815352,0.00,113.91,-113.91
1/7/2025,K-815353,0.00,113.91,-113.91
1/7/2025,K-815353,0.00,113.91,-113.91
1/7/2025,K-815354,0.00,"6,110.65","-6,110.65"
1/7/2025,K-815354,0.00,"6,110.65","-6,110.65"
1/7/2025,K-815355,0.00,141.77,-141.77
1/7/2025,K-815355,0.00,141.76,-141.76
1/7/2025,K-815356,0.00,147.48,-147.48
1/7/2025,K-815356,0.00,147.48,-147.48
1/7/2025,K-815357,0.00,144.69,-144.69
1/7/2025,K-815357,0.00,144.68,-144.68
1/7/2025,K-815358,0.00,144.69,-144.69
1/7/2025,K-815358,0.00,144.68,-144.68
1/7/2025,K-815359,0.00,112.82,-112.82
1/7/2025,K-815359,0.00,112.81,-112.81
1/7/2025,J-424286,0.00,"9,893.53","-9,893.53"
1/7/2025,J-424505,"1,901.70",0.00,"1,901.70"
1/8/2025,K-815405,0.00,350.00,-350.00
1/8/2025,J-424945,0.00,"11,792.82","-11,792.82"
1/8/2025,J-424978,0.00,908.58,-908.58
1/9/2025,J-425112,"300,000.00",0.00,"300,000.00"
1/9/2025,J-425123,0.00,289.12,-289.12
1/10/2025,K-815703,425.00,0.00,425.00
1/10/2025,J-426026,0.00,"3,474.23","-3,474.23"
1/13/2025,K-816532,0.00,189.00,-189.00
1/13/2025,K-816533,0.00,297.00,-297.00
1/13/2025,K-816533,0.00,"3,974.08","-3,974.08"
1/13/2025,K-816533,0.00,667.23,-667.23
1/13/2025,K-816534,0.00,122.68,-122.68
1/13/2025,K-816534,0.00,27.50,-27.50
1/13/2025,K-816535,0.00,"2,089.00","-2,089.00"
1/13/2025,K-816536,0.00,133.46,-133.46
1/13/2025,K-816537,0.00,218.21,-218.21
1/13/2025,K-816537,0.00,218.20,-218.20
1/13/2025,K-816538,0.00,300.00,-300.00
1/13/2025,K-816539,0.00,438.84,-438.84
1/13/2025,K-816540,0.00,"4,447.36","-4,447.36"
1/13/2025,K-816541,0.00,"5,550.00","-5,550.00"
1/13/2025,K-816542,0.00,570.51,-570.51
1/13/2025,K-816543,0.00,169.60,-169.60
1/13/2025,K-816543,0.00,750.11,-750.11
1/13/2025,K-816544,0.00,"11,742.00","-11,742.00"
1/13/2025,K-816545,0.00,437.19,-437.19
1/13/2025,K-816546,0.00,"1,807.86","-1,807.86"
1/13/2025,K-816547,0.00,"1,050.00","-1,050.00"
1/13/2025,K-816548,0.00,138.60,-138.60
1/13/2025,K-816548,0.00,139.05,-139.05
1/13/2025,K-816548,0.00,16.00,-16.00
1/13/2025,K-816549,0.00,"3,211.63","-3,211.63"
1/13/2025,K-816550,0.00,184.38,-184.38
