Date,Amount
2/28/2025,-100000
2/28/2025,880
2/28/2025,4910
2/27/2025,-330
2/27/2025,200
2/27/2025,906.4
2/27/2025,1465
2/27/2025,4760
2/27/2025,5115
2/27/2025,5400
2/26/2025,1100
2/26/2025,4650
2/26/2025,6138
2/26/2025,7161.06
2/25/2025,2413
2/25/2025,2805
2/25/2025,13123.5
2/24/2025,184.37
2/24/2025,1122
2/24/2025,3069
2/24/2025,3760
2/24/2025,4290
2/21/2025,766.11
2/20/2025,697.93
2/19/2025,-183.93
2/19/2025,1413.75
2/19/2025,4680
2/19/2025,7690
2/19/2025,15816.79
2/18/2025,-100000
2/18/2025,4245.6
2/18/2025,5824
2/14/2025,5420
2/13/2025,475.86
2/13/2025,1787
2/13/2025,4495
2/12/2025,2196.75
2/12/2025,2299.44
2/11/2025,-5180
2/11/2025,5180
2/10/2025,3584
2/10/2025,4790.53
2/10/2025,9761.21
2/7/2025,3072.73
2/7/2025,4173.12
2/6/2025,-4395.01
2/6/2025,4060
2/6/2025,56793
2/5/2025,-100000
2/5/2025,547.8
2/5/2025,1056
2/5/2025,1365
2/5/2025,3280
2/5/2025,5623.8
2/4/2025,-5040
2/4/2025,-2475
2/4/2025,7515
2/3/2025,-6472.26
2/3/2025,-60000
2/3/2025,440
2/3/2025,934.29
2/3/2025,3120
2/3/2025,4620
2/3/2025,18965
2/3/2025,76083.88
