Date,Amount
1/2/2025,137267.79
1/2/2025,-2737.72
1/2/2025,-180000.00
1/2/2025,6530.71
1/3/2025,-80000.00
1/3/2025,75288.41
1/6/2025,-100000.00
1/6/2025,4124.94
1/6/2025,3425.72
1/6/2025,47502.53
1/6/2025,47273.14
1/7/2025,-2571.14
1/7/2025,32868.46
1/7/2025,2000.00
1/7/2025,64580.02
1/7/2025,14393.40
1/8/2025,14277.98
1/8/2025,5539.76
1/8/2025,11245.27
1/9/2025,5198.57
1/9/2025,3640.97
1/9/2025,-9455.21
1/9/2025,-150000.00
1/9/2025,3150.00
1/9/2025,2353.00
1/10/2025,-5453.30
1/10/2025,12923.11
1/10/2025,200.00
1/13/2025,-227.82
1/13/2025,-227.82
1/13/2025,-289.37
1/13/2025,-289.37
1/13/2025,-294.96
1/13/2025,-12221.30
1/13/2025,2100.00
1/13/2025,12191.30
1/13/2025,8720.27
1/14/2025,7984.66
1/14/2025,5453.00
1/15/2025,2801.24
1/15/2025,-180000.00
1/15/2025,3908.08
1/15/2025,90.38
1/17/2025,1700.00
1/17/2025,2573.80
1/17/2025,1334.35
1/17/2025,800.00
1/17/2025,719.86
1/21/2025,-1231.10
1/21/2025,1962.80
1/21/2025,1596.29
1/21/2025,5553.30
1/21/2025,3707.33
1/21/2025,-5453.00
1/21/2025,180000.00
1/22/2025,-3333.00
1/22/2025,-219.22
1/22/2025,-227.82
1/22/2025,-233.90
1/22/2025,-237.92
1/22/2025,-241.24
1/22/2025,-247.32
1/22/2025,-289.47
1/22/2025,5559.10
1/24/2025,-5453.00
1/24/2025,5453.00
1/27/2025,-60000.00
1/27/2025,443.29
1/27/2025,1834.60
1/27/2025,4756.21
1/27/2025,8270.30
1/28/2025,1611.96
1/28/2025,3716.00
1/28/2025,16478.63
1/29/2025,-5453.00
1/29/2025,7030.25
1/29/2025,13115.73
1/30/2025,2825.03
1/30/2025,6873.69
1/31/2025,-2242.00
1/31/2025,5797.89
1/31/2025,3690.00
1/31/2025,-2242.00
