Date,Transaction Description, Amount ,Bank Reference,Customer Reference,Transaction Detail,Add'l Details,Comments,,,,,,,,,
12/2/24,ACH Withdrawal, (35.00),A24337017018108,6.888E+13,SHIFT4          FEES       AKA WHITE HOUSE E-COMM 068880022024784,advice detail,,,,,,,,,,
12/2/24,ACH Withdrawal," (1,182.72)",A24337011896205,6.888E+13,SHIFT4          CHG BACKS  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/2/24,ACH Withdrawal," (26,472.76)",A24337017018096,6.888E+13,SHIFT4          FEES       AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/2/24,Book transfer debit," (200,000.00)",0,,TO ...3819,,,,,,,,,,,
12/2/24,ACH deposit," 1,304.37 ",A24337016810444,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/2/24,ACH deposit," 1,461.01 ",A24337021036121,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,, -   , -   ,
12/2/24,ACH deposit," 7,933.53 ",A24337017017411,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/2/24,ACH deposit," 13,890.91 ",A24337011896576,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/2/24,ACH deposit," 19,823.90 ",A24337017017412,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/2/24,ACH deposit," 22,593.44 ",A24337013312175,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/2/24,ACH deposit," 45,809.46 ",A24337011896575,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/3/24,ACH deposit," 4,305.94 ",A24338005875258,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/3/24,ACH deposit," 31,302.89 ",A24338000529378,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/4/24,ACH deposit, 230.00 ,A24338006925390,               ,Embassy of SwitzCREDITS    Washington H Street As,advice detail,,,,,,,,,,
12/4/24,ACH deposit," 2,190.36 ",A24339006351048,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/4/24,ACH deposit," 27,884.63 ",A24339002693857,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/5/24,ACH Withdrawal, (394.50),A24339008015899,H072610        ,TACS            COMMISSION WASHINGTON H STREET AS H072610,advice detail,,,,,,,,,,
12/5/24,ACH Withdrawal," (7,554.88)",A24340008276742,4080142813,AMERICAN EXPRESSAXP DISCNT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/5/24,ACH deposit," 11,107.54 ",A24340008281639,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/5/24,ACH deposit," 22,882.14 ",A24340004416959,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/6/24,ACH deposit," 29,829.56 ",A24341004676570,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/6/24,ACH deposit," 57,545.91 ",A24341008795776,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/9/24,Book transfer debit," (268,000.00)",0,,TO ...3819,,,,,,,,,,,
12/9/24,ACH deposit," 1,467.31 ",A24344009740378,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/9/24,ACH deposit," 3,728.45 ",A24344013639034,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/9/24,ACH deposit," 18,438.80 ",A24344009987464,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/9/24,ACH deposit," 19,133.72 ",A24344009695293,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/9/24,ACH deposit," 20,181.87 ",A24344009987465,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/9/24,ACH deposit," 25,614.39 ",A24344006569937,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/10/24,ACH deposit," 15,256.20 ",A24345004959286,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/10/24,ACH deposit," 43,113.26 ",A24345001006178,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/11/24,ACH Withdrawal," (2,963.70)",A24346000900865,6.888E+13,SHIFT4          CHG BACKS  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/11/24,ACH deposit," 12,778.84 ",A24346004052665,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/11/24,ACH deposit," 26,012.55 ",A24346000908806,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/12/24,ACH deposit," 10,464.84 ",A24347002092072,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/12/24,ACH deposit," 10,613.37 ",A24347005739785,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/13/24,ACH deposit," 1,182.72 ",A24348001856024,6.888E+13,SHIFT4          CHG BACKS  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
12/13/24,ACH deposit," 2,688.46 ",A24348006008695,4080142813,AMERICAN EXPRESSSETTLEMENT ASSOC. LLC /4080142813 4080142813,advice detail,,,,,,,,,,
12/13/24,ACH deposit," 32,832.37 ",A24348001869426,6.888E+13,SHIFT4          PYMT PROC  AKA WHITE HOUSE        068880021809919,advice detail,,,,,,,,,,
